
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"0201","0","0","0","0","0","0","0","0","2","4","6","7","7","4","2","1","0","0","0","0","0","0","0","0"
"0202","0","0","0","0","0","0","0","0","1","2","5","6","2","4","2","0","0","0","0","0","0","0","0","0"
"0203","0","0","0","0","0","0","0","0","1","2","3","5","5","4","1","1","0","0","0","0","0","0","0","0"
"0204","0","0","0","0","0","0","0","0","1","3","5","7","5","3","2","1","0","0","0","0","0","0","0","0"
"0205","0","0","0","0","0","0","0","0","0","1","1","1","1","2","1","1","0","0","0","0","0","0","0","0"
"0206","0","0","0","0","0","0","0","0","1","1","3","4","5","3","2","1","0","0","0","0","0","0","0","0"
"0207","0","0","0","0","0","0","0","0","1","3","4","3","3","1","1","1","0","0","0","0","0","0","0","0"
"0208","0","0","0","0","0","0","0","0","0","3","4","3","4","5","2","1","0","0","0","0","0","0","0","0"
"0209","0","0","0","0","0","0","0","0","0","2","4","6","5","3","2","1","0","0","0","0","0","0","0","0"
"0210","0","0","0","0","0","0","0","0","0","1","2","1","1","1","1","1","0","0","0","0","0","0","0","0"
"0211","0","0","0","0","0","0","0","0","2","4","6","7","8","6","3","2","1","0","0","0","0","0","0","0"
"0212","0","0","0","0","0","0","0","0","1","2","5","7","6","3","1","0","0","0","0","0","0","0","0","0"
"0213","0","0","0","0","0","0","0","0","2","4","6","8","7","4","3","1","0","0","0","0","0","0","0","0"
"0214","0","0","0","0","0","0","0","0","2","4","6","8","8","6","4","2","1","0","0","0","0","0","0","0"
"0215","0","0","0","0","0","0","0","0","2","4","6","8","8","7","4","2","1","0","0","0","0","0","0","0"
"0216","0","0","0","0","0","0","0","0","0","1","1","3","3","2","1","1","0","0","0","0","0","0","0","0"
"0217","0","0","0","0","0","0","0","0","2","4","7","8","8","7","3","1","0","0","0","0","0","0","0","0"
"0218","0","0","0","0","0","0","0","0","1","3","7","8","8","5","2","1","0","0","0","0","0","0","0","0"
"0219","0","0","0","0","0","0","0","0","2","5","7","6","5","6","5","2","1","0","0","0","0","0","0","0"
"0220","0","0","0","0","0","0","0","0","2","4","6","9","9","8","5","2","1","0","0","0","0","0","0","0"
"0221","0","0","0","0","0","0","0","1","2","5","7","9","9","7","4","2","0","0","0","0","0","0","0","0"
"0222","0","0","0","0","0","0","0","0","2","4","7","9","9","6","3","0","0","0","0","0","0","0","0","0"
"0223","0","0","0","0","0","0","0","0","1","2","3","5","4","4","3","1","0","0","0","0","0","0","0","0"
"0224","0","0","0","0","0","0","0","0","1","3","5","5","3","3","2","1","0","0","0","0","0","0","0","0"
"0225","0","0","0","0","0","0","0","0","0","1","1","2","3","2","1","0","0","0","0","0","0","0","0","0"
"0226","0","0","0","0","0","0","0","0","1","1","3","3","1","1","1","0","0","0","0","0","0","0","0","0"
"0227","0","0","0","0","0","0","0","0","1","1","1","1","2","2","1","0","0","0","0","0","0","0","0","0"
"0228","0","0","0","0","0","0","0","1","2","4","7","8","8","6","4","1","0","0","0","0","0","0","0","0"
"0229","0","0","0","0","0","0","0","0","1","2","4","7","7","6","2","1","0","0","0","0","0","0","0","0"
