
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"0801","0","0","0","0","0","0","0","2","5","9","12","14","14","12","8","5","2","0","0","0","0","0","0","0"
"0802","0","0","0","0","0","0","0","2","5","8","12","13","13","11","8","5","2","0","0","0","0","0","0","0"
"0803","0","0","0","0","0","0","0","2","5","8","11","13","13","11","9","5","2","0","0","0","0","0","0","0"
"0804","0","0","0","0","0","0","0","2","5","8","11","13","13","11","8","4","1","0","0","0","0","0","0","0"
"0805","0","0","0","0","0","0","0","2","5","8","11","13","13","11","8","3","1","0","0","0","0","0","0","0"
"0806","0","0","0","0","0","0","0","1","4","4","7","9","11","10","5","4","2","0","0","0","0","0","0","0"
"0807","0","0","0","0","0","0","0","2","5","9","12","14","13","10","7","4","1","0","0","0","0","0","0","0"
"0808","0","0","0","0","0","0","0","2","5","8","12","14","13","7","2","2","1","0","0","0","0","0","0","0"
"0809","0","0","0","0","0","0","0","2","5","8","11","13","13","10","4","2","0","0","0","0","0","0","0","0"
"0810","0","0","0","0","0","0","0","1","4","8","9","12","12","5","3","1","0","0","0","0","0","0","0","0"
"0811","0","0","0","0","0","0","0","2","4","7","9","11","13","11","8","3","1","0","0","0","0","0","0","0"
"0812","0","0","0","0","0","0","0","2","5","8","11","13","13","11","5","3","1","0","0","0","0","0","0","0"
"0813","0","0","0","0","0","0","0","2","5","7","9","12","11","7","5","2","1","0","0","0","0","0","0","0"
"0814","0","0","0","0","0","0","0","2","5","8","11","13","12","8","3","1","0","0","0","0","0","0","0","0"
"0815","0","0","0","0","0","0","0","2","4","8","11","12","7","5","1","1","0","0","0","0","0","0","0","0"
"0816","0","0","0","0","0","0","0","2","4","8","9","13","12","8","2","2","0","0","0","0","0","0","0","0"
"0817","0","0","0","0","0","0","0","1","4","6","10","11","10","6","4","1","0","0","0","0","0","0","0","0"
"0818","0","0","0","0","0","0","0","1","2","6","10","13","12","5","2","1","0","0","0","0","0","0","0","0"
"0819","0","0","0","0","0","0","0","2","4","7","7","8","5","2","1","1","1","0","0","0","0","0","0","0"
"0820","0","0","0","0","0","0","0","1","4","8","11","13","12","10","6","2","1","0","0","0","0","0","0","0"
"0821","0","0","0","0","0","0","0","2","5","9","12","14","14","11","8","4","2","0","0","0","0","0","0","0"
"0822","0","0","0","0","0","0","0","2","5","8","11","13","13","11","8","4","2","0","0","0","0","0","0","0"
"0823","0","0","0","0","0","0","0","2","5","8","11","13","13","9","6","3","1","0","0","0","0","0","0","0"
"0824","0","0","0","0","0","0","0","2","4","8","11","13","13","11","7","3","1","0","0","0","0","0","0","0"
"0825","0","0","0","0","0","0","0","2","5","8","11","10","12","10","7","2","0","0","0","0","0","0","0","0"
"0826","0","0","0","0","0","0","0","2","4","7","11","12","12","10","7","4","1","0","0","0","0","0","0","0"
"0827","0","0","0","0","0","0","0","2","4","7","10","12","12","10","7","3","1","0","0","0","0","0","0","0"
"0828","0","0","0","0","0","0","0","2","4","7","10","12","11","9","7","4","1","0","0","0","0","0","0","0"
"0829","0","0","0","0","0","0","0","2","4","7","10","12","12","10","7","4","1","0","0","0","0","0","0","0"
"0830","0","0","0","0","0","0","0","2","4","8","11","12","12","10","7","4","1","0","0","0","0","0","0","0"
"0831","0","0","0","0","0","0","0","2","4","7","10","12","12","9","7","3","1","0","0","0","0","0","0","0"
