
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"0301","0","0","0","0","0","0","0","0","0","1","2","2","2","2","1","0","0","0","0","0","0","0","0","0"
"0302","0","0","0","0","0","0","0","0","1","2","4","4","2","2","2","1","0","0","0","0","0","0","0","0"
"0303","0","0","0","0","0","0","0","0","1","2","5","7","7","4","3","2","1","0","0","0","0","0","0","0"
"0304","0","0","0","0","0","0","0","1","2","4","6","8","8","7","4","2","1","0","0","0","0","0","0","0"
"0305","0","0","0","0","0","0","0","1","2","4","7","5","3","3","2","2","1","0","0","0","0","0","0","0"
"0306","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0"
"0307","0","0","0","0","0","0","0","0","1","1","1","1","2","1","0","0","0","0","0","0","0","0","0","0"
"0308","0","0","0","0","0","0","0","0","0","1","2","2","1","0","0","0","0","0","0","0","0","0","0","0"
"0309","0","0","0","0","0","0","0","0","1","2","2","3","2","1","1","0","0","0","0","0","0","0","0","0"
"0310","0","0","0","0","0","0","0","0","0","1","1","1","2","2","2","2","0","0","0","0","0","0","0","0"
"0311","0","0","0","0","0","0","0","0","1","4","6","4","3","4","1","1","0","0","0","0","0","0","0","0"
"0312","0","0","0","0","0","0","0","0","1","3","7","5","3","2","2","2","1","0","0","0","0","0","0","0"
"0313","0","0","0","0","0","0","0","0","1","1","2","3","2","1","1","0","0","0","0","0","0","0","0","0"
"0314","0","0","0","0","0","0","0","0","0","1","1","2","1","2","3","2","1","0","0","0","0","0","0","0"
"0315","0","0","0","0","0","0","0","0","1","3","8","8","4","1","1","1","1","0","0","0","0","0","0","0"
"0316","0","0","0","0","0","0","0","1","2","5","7","8","9","8","5","2","1","0","0","0","0","0","0","0"
"0317","0","0","0","0","0","0","0","0","3","6","8","10","9","5","3","2","1","0","0","0","0","0","0","0"
"0318","0","0","0","0","0","0","0","0","1","1","2","2","2","1","1","0","0","0","0","0","0","0","0","0"
"0319","0","0","0","0","0","0","0","0","0","1","2","2","2","2","1","1","0","0","0","0","0","0","0","0"
"0320","0","0","0","0","0","0","0","0","2","3","4","2","2","2","1","0","0","0","0","0","0","0","0","0"
"0321","0","0","0","0","0","0","0","1","3","5","8","9","7","6","2","1","0","0","0","0","0","0","0","0"
"0322","0","0","0","0","0","0","0","0","1","4","6","5","5","3","1","1","0","0","0","0","0","0","0","0"
"0323","0","0","0","0","0","0","0","1","2","5","7","8","9","7","3","2","0","0","0","0","0","0","0","0"
"0324","0","0","0","0","0","0","0","1","3","5","8","10","10","8","6","3","1","0","0","0","0","0","0","0"
"0325","0","0","0","0","0","0","0","1","2","6","8","10","10","8","5","2","1","0","0","0","0","0","0","0"
"0326","0","0","0","0","0","0","0","1","3","6","7","1","1","1","1","0","0","0","0","0","0","0","0","0"
"0327","0","0","0","0","0","0","0","0","0","0","5","8","7","2","1","1","0","0","0","0","0","0","0","0"
"0328","0","0","0","0","0","0","0","1","4","6","9","11","8","4","4","2","1","0","0","0","0","0","0","0"
"0329","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0"
"0330","0","0","0","0","0","0","0","0","1","2","4","5","6","7","5","2","1","0","0","0","0","0","0","0"
"0331","0","0","0","0","0","0","0","1","2","4","5","7","5","5","2","1","0","0","0","0","0","0","0","0"
