
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"1001","0","0","0","0","0","0","0","1","3","6","5","7","5","2","2","1","0","0","0","0","0","0","0","0"
"1002","0","0","0","0","0","0","0","1","2","4","5","6","5","4","3","1","0","0","0","0","0","0","0","0"
"1003","0","0","0","0","0","0","0","1","1","1","2","3","3","3","2","1","0","0","0","0","0","0","0","0"
"1004","0","0","0","0","0","0","0","1","3","5","3","8","6","3","2","1","0","0","0","0","0","0","0","0"
"1005","0","0","0","0","0","0","0","1","2","5","5","8","8","8","5","2","1","0","0","0","0","0","0","0"
"1006","0","0","0","0","0","0","0","1","4","7","10","11","11","8","5","2","0","0","0","0","0","0","0","0"
"1007","0","0","0","0","0","0","0","1","4","7","10","11","10","6","4","2","0","0","0","0","0","0","0","0"
"1008","0","0","0","0","0","0","0","1","4","7","10","9","6","3","2","1","0","0","0","0","0","0","0","0"
"1009","0","0","0","0","0","0","0","1","4","6","7","5","4","2","1","1","0","0","0","0","0","0","0","0"
"1010","0","0","0","0","0","0","0","1","2","4","5","4","2","1","1","0","0","0","0","0","0","0","0","0"
"1011","0","0","0","0","0","0","0","1","3","4","5","3","2","1","1","0","0","0","0","0","0","0","0","0"
"1012","0","0","0","0","0","0","0","1","2","3","5","10","9","4","2","1","0","0","0","0","0","0","0","0"
"1013","0","0","0","0","0","0","0","1","3","6","8","10","8","5","4","2","0","0","0","0","0","0","0","0"
"1014","0","0","0","0","0","0","0","1","3","6","8","9","9","7","4","1","0","0","0","0","0","0","0","0"
"1015","0","0","0","0","0","0","0","1","3","6","8","9","9","6","2","1","0","0","0","0","0","0","0","0"
"1016","0","0","0","0","0","0","0","1","3","6","8","9","7","5","4","1","0","0","0","0","0","0","0","0"
"1017","0","0","0","0","0","0","0","1","3","6","8","9","9","7","4","2","0","0","0","0","0","0","0","0"
"1018","0","0","0","0","0","0","0","1","3","6","8","9","9","7","4","2","0","0","0","0","0","0","0","0"
"1019","0","0","0","0","0","0","0","1","3","6","8","9","9","7","4","2","0","0","0","0","0","0","0","0"
"1020","0","0","0","0","0","0","0","0","2","3","4","6","5","5","2","1","0","0","0","0","0","0","0","0"
"1021","0","0","0","0","0","0","0","0","2","5","7","9","6","5","3","1","0","0","0","0","0","0","0","0"
"1022","0","0","0","0","0","0","0","1","3","5","8","8","8","6","3","1","0","0","0","0","0","0","0","0"
"1023","0","0","0","0","0","0","0","0","2","3","4","7","4","3","2","1","0","0","0","0","0","0","0","0"
"1024","0","0","0","0","0","0","0","0","1","2","3","2","3","2","1","0","0","0","0","0","0","0","0","0"
"1025","0","0","0","0","0","0","0","0","3","6","6","6","4","2","1","0","0","0","0","0","0","0","0","0"
"1026","0","0","0","0","0","0","0","0","1","2","3","3","3","2","2","1","0","0","0","0","0","0","0","0"
"1027","0","0","0","0","0","0","0","1","2","5","8","9","8","6","4","1","0","0","0","0","0","0","0","0"
"1028","0","0","0","0","0","0","0","1","2","5","7","9","6","3","2","1","0","0","0","0","0","0","0","0"
"1029","0","0","0","0","0","0","0","1","3","6","7","9","7","6","2","1","0","0","0","0","0","0","0","0"
"1030","0","0","0","0","0","0","0","1","1","3","3","4","4","2","1","0","0","0","0","0","0","0","0","0"
"1031","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
