0,1,2,3,4
Transformer,RandomForestRegressor,128,100,4687234.25
Bidirectional LSTM,VotingRegressor,128,250,4688385.36
GRU,SupportVectorRegressor,128,200,4698085.35
Transformer,Huber,128,250,4761099.61
Transformer,Ridge,128,200,4765967.51
Transformer,ElasticNet,128,200,4802266.9399999995
GRU,GradientBoostingRegressor,128,150,4822762.350000001
Transformer,KnnRegression,128,150,4851553.75
Transformer,XGBoost,128,50,5003459.6899999995
GRU,KnnRegression,128,250,5021476.359999999
Bidirectional LSTM,ExtraTreesRegressor,128,150,5033614.340000001
GRU,GradientBoostingRegressor,128,250,5192294.460000001
Transformer,KnnRegression,128,300,5361942.5
Transformer,CatBoost,128,100,5438347.670000001
GRU,VotingRegressor,128,250,5485979.0
Transformer,Ridge,128,150,5509661.9799999995
Transformer,LightGBM,128,300,5631034.960000001
Transformer,RandomForestRegressor,128,300,5859798.879999999
Transformer,VotingRegressor,128,200,6189932.290000001
GRU,XGBoost,128,150,6258159.3100000005
Transformer,ExtraTreesRegressor,128,200,6397628.27
GRU,Ridge,128,100,6415975.0
Transformer,Linear,128,250,6432065.44
Transformer,KnnRegression,128,100,6480500.77
GRU,Ridge,128,150,6673914.340000001
GRU,Ridge,128,200,6797867.43
Transformer,Huber,128,200,6830646.43
GRU,LightGBM,128,100,6975237.5600000005
Transformer,Linear,128,300,7273829.1
Transformer,SupportVectorRegressor,128,300,7279321.369999999
GRU,LightGBM,128,250,7349331.03
GRU,Lasso,128,150,7504421.879999999
GRU,CatBoost,128,250,9731007.12
GRU,CatBoost,128,200,10117856.78
Transformer,ElasticNet,128,150,10268217.629999999
GRU,ExtraTreesRegressor,128,300,10506243.100000001
GRU,Linear,128,250,11241559.51
GRU,KnnRegression,128,200,11258202.209999999
Transformer,ExtraTreesRegressor,128,300,11284244.06
Transformer,Lasso,128,100,12002863.920000002
