compare_file,best_file,total_difference,diff. with answers
./result/0_output.csv,./result/best.csv,4628093.97,
./result/1_output_GRU_ExtraTree_256_50.csv,./result/best.csv,6725646.295899988,
./result/2_output_GRU_ExtraTree_256_100.csv,./result/best.csv,7122965.259099982,
./result/3_output_GRU_ExtraTree_256_150.csv,./result/best.csv,3676806.1452000113,
./result/4_output_GRU_ExtraTree_256_200.csv,./result/best.csv,3337193.990300003,
./result/5_output_GRU_ExtraTree_256_250.csv,./result/best.csv,4733749.797799991,
./result/6_output_GRU_KNN_256_50.csv,./result/best.csv,2188250.634,
./result/7_output_GRU_KNN_256_100.csv,./result/best.csv,2231695.8780000065,
./result/8_output_GRU_KNN_256_150.csv,./result/best.csv,2379406.078000001,
./result/9_output_GRU_KNN_256_200.csv,./result/best.csv,4473715.85799998,
./result/10_output_GRU_KNN_256_250.csv,./result/best.csv,2189308.2540000034,
./result/11_output_GRU_KNN_256_300.csv,./result/best.csv,2368068.505999998,
./result/12_output_GRU_Linear_256_50.csv,./result/best.csv,2722190.30855,
./result/13_output_GRU_Linear_256_100.csv,./result/best.csv,13848814.7954399,
./result/14_output_GRU_Linear_256_150.csv,./result/best.csv,3592997.52731,
./result/15_output_LSTM_ExtraTree_256_50.csv,./result/best.csv,2859697.3197999937,
./result/16_output_LSTM_ExtraTree_256_100.csv,./result/best.csv,2897548.269299999,
./result/17_output_LSTM_ExtraTree_256_150.csv,./result/best.csv,4016883.983700008,
./result/18_output_LSTM_ExtraTree_256_200.csv,./result/best.csv,3143373.566999987,
./result/19_output_LSTM_ExtraTree_256_250.csv,./result/best.csv,3474322.358599989,
./result/20_output_LSTM_ExtraTree_256_300.csv,./result/best.csv,2280403.8864999884,
./result/21_output_LSTM_ExtraTree_128_50.csv,./result/best.csv,2165149.765199997,
./result/22_output_LSTM_KNN_256_50.csv,./result/best.csv,2175535.9800000004,
./result/23_output_LSTM_KNN_256_50.csv,./result/best.csv,2290252.2820000057,
./result/24_output_LSTM_KNN_256_100.csv,./result/best.csv,2730410.63800001,
./result/25_output_LSTM_KNN_256_150.csv,./result/best.csv,2441326.632000001,
./result/26_output_LSTM_KNN_256_200.csv,./result/best.csv,2150138.242000004,
./result/27_output_LSTM_KNN_256_250.csv,./result/best.csv,2610668.334,
./result/28_output_LSTM_KNN_256_300.csv,./result/best.csv,3203295.1879999903,
./result/29_output_LSTM_KNN_128_50.csv,./result/best.csv,2281292.6099999994,
./result/30_output_LSTM_KNN_128_100.csv,./result/best.csv,2378615.3099999977,
./result/31_output_LSTM_KNN_128_150.csv,./result/best.csv,3470248.7499999977,
./result/32_output_LSTM_KNN_128_200.csv,./result/best.csv,2367855.130000003,
./result/33_output_LSTM_KNN_128_250.csv,./result/best.csv,2134382.4280000045,
./result/34_output_LSTM_KNN_128_300.csv,./result/best.csv,2166860.0760000083,
./result/35_output_LSTM_KNN_256_50.csv,./result/best.csv,2683703.517999999,
./result/36_output_LSTM_KNN_256_100.csv,./result/best.csv,2793320.0840000045,
./result/37_output_LSTM_KNN_256_150.csv,./result/best.csv,2183106.4540000004,
./result/38_output_LSTM_KNN_256_200.csv,./result/best.csv,2147236.000000002,
./result/39_output_LSTM_KNN_256_250.csv,./result/best.csv,2137001.219999992,
./result/40_output_LSTM_KNN_256_300.csv,./result/best.csv,2881826.9120000056,
./result/41_output_LSTM_KNN_128_50.csv,./result/best.csv,2897397.256000003,
./result/42_output_LSTM_KNN_128_100.csv,./result/best.csv,3145691.257999995,
./result/43_output_LSTM_KNN_128_150.csv,./result/best.csv,2309472.286000015,
./result/44_output_LSTM_KNN_128_200.csv,./result/best.csv,2348014.6199999885,
./result/45_output_LSTM_KNN_128_250.csv,./result/best.csv,3247565.051999986,
./result/46_output_LSTM_KNN_128_300.csv,./result/best.csv,3054377.091999991,
./result/47_output_LSTM_Linear_256_50.csv,./result/best.csv,2457711.1113400105,
./result/48_output_LSTM_Linear_256_100.csv,./result/best.csv,2948386.592790001,
./result/49_output_LSTM_Linear_256_150.csv,./result/best.csv,7623149.413219986,
./result/50_output_LSTM_Linear_256_200.csv,./result/best.csv,3395727.9888599943,
./result/51_output_LSTM_Linear_256_250.csv,./result/best.csv,4884790.64438003,
./result/52_output_LSTM_Linear_256_300.csv,./result/best.csv,2758293.904899998,
./result/53_output_LSTM_Linear_128_50.csv,./result/best.csv,3780475.599359996,
./result/54_output_LSTM_Linear_128_100.csv,./result/best.csv,3293587.5386499963,
./result/55_output_LSTM_Linear_128_150.csv,./result/best.csv,4713444.954690014,
./result/56_output_LSTM_Linear_128_200.csv,./result/best.csv,4419401.024670011,
./result/57_output_LSTM_Linear_128_250.csv,./result/best.csv,3541468.1240399918,
./result/58_output_LSTM_Linear_128_300.csv,./result/best.csv,3145244.134920004,
./result/59_output_LSTM_RandomForest_256_50.csv,./result/best.csv,2302039.1160999835,
./result/60_output_LSTM_RandomForest_256_50.csv,./result/best.csv,2302079.968200007,
./result/61_output_LSTM_RandomForest_256_100.csv,./result/best.csv,2301860.37119999,
./result/62_output_LSTM_RandomForest_256_150.csv,./result/best.csv,2302074.0967000094,
./result/63_output_Transformer_Voting_256_50.csv,./result/best.csv,5073931.76159998,
./result/64_output_Transformer_Voting_256_100.csv,./result/best.csv,2092963.093660002,
./result/65_output_Transformer_Voting_256_150.csv,./result/best.csv,2141346.3794100103,
./result/66_output_Transformer_Voting_256_200.csv,./result/best.csv,2199677.665460006,
./result/67_output_Transformer_Voting_256_250.csv,./result/best.csv,2195457.4972099895,
./result/68_output_Transformer_Voting_256_300.csv,./result/best.csv,2536256.019870012,
./result/69_output_Transformer_Voting_128_50.csv,./result/best.csv,2123746.737899999,
./result/70_output_Transformer_Voting_128_100.csv,./result/best.csv,4720220.782049973,
./result/71_output_Transformer_Voting_128_150.csv,./result/best.csv,2560871.4258900057,
./result/72_output_Transformer_Voting_128_200.csv,./result/best.csv,2182438.994709997,
./result/73_output_Transformer_Voting_128_250.csv,./result/best.csv,2892362.9088399955,
./result/74_output_Transformer_Voting_128_300.csv,./result/best.csv,2506380.7368099974,
./result/75_output_Transformer_Linear_256_50.csv,./result/best.csv,4750365.964970011,
./result/76_output_Transformer_Linear_256_100.csv,./result/best.csv,3552545.4766000104,
./result/77_output_Transformer_Linear_256_150.csv,./result/best.csv,3008489.8782800003,
./result/78_output_Transformer_Linear_256_200.csv,./result/best.csv,4001146.4975600075,
./result/79_output_Transformer_Linear_256_250.csv,./result/best.csv,4823309.474389986,
./result/80_output_Transformer_Linear_256_300.csv,./result/best.csv,2277265.2922899933,
./result/81_output_Transformer_Linear_128_50.csv,./result/best.csv,3973552.0591299995,
./result/82_output_Transformer_Linear_128_100.csv,./result/best.csv,2639884.8509100145,
./result/83_output_Transformer_Linear_128_150.csv,./result/best.csv,2929149.2324199853,
./result/84_output_Transformer_Linear_128_200.csv,./result/best.csv,4304548.66595001,
./result/85_output_Transformer_Linear_128_250.csv,./result/best.csv,2907692.118600006,
./result/86_output_Transformer_Linear_128_300.csv,./result/best.csv,3106866.0546700056,
./result/87_output_Transformer_GradientBoosting_256_50.csv,./result/best.csv,2461031.6354900054,
./result/88_output_Transformer_GradientBoosting_256_100.csv,./result/best.csv,2468742.71012999,
./result/89_output_Transformer_GradientBoosting_256_50.csv,./result/best.csv,2446578.6273900107,
./result/90_output_Transformer_GradientBoosting_256_100.csv,./result/best.csv,2472868.9556700103,
./result/91_output_Transformer_GradientBoosting_256_150.csv,./result/best.csv,2439247.6814599964,
./result/92_output_Transformer_GradientBoosting_256_200.csv,./result/best.csv,2451312.2996199965,
./result/93_output_Transformer_GradientBoosting_256_250.csv,./result/best.csv,2443082.810140008,
./result/94_output_Transformer_GradientBoosting_256_300.csv,./result/best.csv,2478889.380970002,
./result/95_output_Transformer_GradientBoosting_128_50.csv,./result/best.csv,2487597.870440002,
./result/96_output_Transformer_GradientBoosting_128_100.csv,./result/best.csv,2433048.521029987,
./result/97_output_Transformer_GradientBoosting_128_150.csv,./result/best.csv,2484812.965390002,
./result/98_output_Transformer_GradientBoosting_128_200.csv,./result/best.csv,2456091.1670500003,
./result/99_output_Transformer_GradientBoosting_128_250.csv,./result/best.csv,2438844.26542001,
